Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Guayaquil,1083,363,40479.1,50270.6,2006.9,2007.8,2007.9,2008.2,792.3,1739.6,1277.3,1300.6,71.0,176.2,222.3,235.3,30.0,79.3,48.5,50.6,6503.5,5892.3,611.2,501332.0,454557.9,46774.2,510957.6,463285.4,47672.2
Esmeraldas,468,231,31285.9,50497.6,2007.8,2008.0,2008.7,2008.9,846.6,1525.4,1700.0,1818.5,85.0,163.8,384.7,402.1,45.0,58.7,68.6,74.3,4269.3,3088.7,1180.6,330101.0,238692.0,91409.0,336438.9,243274.9,93164.0
La Libertad,383,323,21944.2,35825.7,2009.8,2010.3,2010.4,2010.3,1213.9,1883.1,1903.7,1854.4,117.0,191.8,382.4,377.2,16.0,43.1,42.1,42.5,2718.2,2320.6,397.6,210181.8,179436.4,30745.4,214217.3,182881.6,31335.7
Manta,292,206,13187.4,7743.9,1998.8,2001.5,2007.0,2006.9,810.8,2936.3,1501.9,1853.6,74.0,311.9,536.8,706.3,18.5,77.9,47.1,82.1,1845.9,1679.0,166.9,141078.5,128446.8,12631.7,143787.2,130912.9,12874.2
Puerto Bolivar,274,101,7720.6,8274.1,1999.1,1997.3,2001.7,2001.3,2137.6,1868.7,2124.3,2052.4,144.0,149.1,230.7,230.5,56.0,112.8,76.5,78.3,3310.9,2650.6,660.3,252381.3,202788.7,49592.7,257227.0,206682.2,50544.8
Posorja,216,148,7941.9,10622.7,2005.4,2006.1,2007.1,2007.9,995.5,2323.1,1591.9,1677.5,87.0,255.1,399.6,434.2,6.0,92.8,47.7,44.3,1493.0,1362.0,131.0,114579.8,104699.2,9880.6,116779.7,106709.4,10070.3
Duran,39,33,695.0,1148.5,2006.7,2008.4,2011.7,2011.8,768.5,927.3,947.8,944.7,104.0,140.7,184.7,181.4,36.0,57.4,48.2,48.5,98.8,87.2,11.6,7609.7,6721.9,887.8,7755.8,6851.0,904.9
Baltra,36,3,15.2,3.9,2001.9,2000.3,2001.5,1999.7,94.2,422.9,154.0,196.7,19.0,49.3,40.3,50.4,8.5,40.7,38.5,27.2,22.0,11.7,10.3,1648.5,877.6,770.9,1680.2,894.4,785.7
Monteverde,25,7,2806.1,3351.4,2011.9,2013.0,2012.1,2011.9,2501.0,2388.3,2472.7,2469.4,242.0,240.6,300.1,301.4,193.0,169.1,163.8,163.1,434.6,323.9,110.7,33588.3,25013.9,8574.5,34233.2,25494.2,8739.1
Puerto Ayora,22,2,6.9,2.5,2001.6,2000.0,2001.3,1999.0,103.9,105.5,107.1,107.1,19.0,27.5,24.1,36.3,9.0,15.0,10.8,17.7,8.4,4.8,3.6,628.7,357.3,271.5,640.8,364.1,276.7
Baquerizo Moreno,8,3,1.9,1.4,1998.2,1993.3,2000.1,1997.9,61.5,55.2,75.5,68.7,11.0,16.3,17.2,27.1,8.0,9.7,11.0,13.9,1.8,1.0,0.8,132.1,74.4,57.8,134.7,75.8,58.9
Caleta Tagus,6,2,58.6,44.2,1992.0,1989.0,1981.0,1982.1,221.9,1506.8,1423.1,905.0,45.0,361.5,845.8,793.1,20.0,51.0,55.2,52.6,15.6,13.9,1.8,1197.7,1062.7,134.9,1220.7,1083.2,137.5
Puerto Villamil,4,2,2.7,4.4,1989.0,1989.0,1997.7,1997.7,77.9,136.8,213.6,220.6,18.5,33.8,74.6,75.0,16.0,17.5,15.2,15.1,1.5,1.1,0.4,114.0,81.2,32.8,116.2,82.8,33.4
Seymour,3,1,0.7,0.1,2002.0,2002.0,2002.0,2002.0,122.2,122.2,93.4,93.4,27.0,27.0,32.6,32.6,6.0,6.0,6.0,6.0,1.3,1.0,0.2,95.0,77.5,17.5,96.9,79.0,17.9
San Lorenzo,2,2,246.5,385.2,2010.5,2010.5,2010.9,2010.9,6277.1,6277.1,7903.8,8200.7,562.5,562.5,801.9,815.5,14.0,14.0,18.1,18.3,26.9,26.2,0.7,2079.9,2028.1,51.7,2119.8,2067.1,52.7
