Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Helgoland,2197,983,4099.4,4676.7,1997.3,2003.5,2009.3,2009.3,90.2,138.9,103.1,99.0,10.0,31.1,40.0,23.5,29.0,53.7,47.6,46.6,1538.2,682.8,855.4,116173.5,51254.5,64919.0,118404.0,52238.6,66165.4
Bremerhaven,1328,389,3229.0,2894.9,2001.0,2002.9,2009.1,2009.4,124.7,209.4,138.7,136.5,14.0,100.5,118.9,130.7,15.0,60.1,36.7,36.1,890.2,616.4,273.7,67012.0,46327.6,20684.4,68298.6,47217.1,21081.5
Cuxhaven,1153,248,953.2,854.2,1987.7,1990.3,2003.8,2002.7,137.3,350.2,534.7,571.7,22.0,121.3,341.9,353.5,14.0,102.6,132.6,120.6,680.2,490.0,190.1,50225.4,36032.1,14193.3,51189.7,36723.9,14465.8
Hamburg,1075,318,1196.2,1714.3,1999.6,2001.1,2007.2,2007.8,125.8,184.8,200.6,218.3,20.0,55.9,181.1,211.5,19.0,49.6,53.2,57.0,556.5,336.8,219.7,41836.5,25335.8,16500.7,42639.7,25822.2,16817.5
Altenwerder,726,221,2478.0,2673.2,2004.7,2003.4,2010.3,2010.1,124.2,174.6,148.9,149.9,19.0,41.8,39.1,40.9,16.0,48.6,25.7,25.6,536.5,356.1,180.4,40305.0,26757.2,13547.8,41078.9,27270.9,13807.9
Rostock,710,190,407.4,272.1,1993.4,1992.5,1996.2,2000.1,125.0,217.6,147.5,152.2,19.0,101.2,69.5,60.6,19.0,67.6,54.4,48.5,314.1,194.2,120.0,23592.6,14580.3,9012.4,24045.6,14860.2,9185.4
Mukran,419,146,372.7,363.9,1999.1,1997.9,2002.5,2004.1,216.3,377.4,275.2,303.1,47.0,141.9,232.6,172.0,25.0,95.9,96.8,113.9,283.2,202.8,80.4,21150.7,15124.8,6025.9,21556.8,15415.2,6141.6
Spiekeroog,418,342,686.5,611.7,2005.0,2005.4,2009.7,2009.0,66.2,89.8,75.3,72.2,8.0,22.4,37.9,29.3,29.0,47.4,72.5,68.1,207.2,88.2,119.0,15488.0,6603.2,8884.9,15785.4,6730.0,9055.5
Brake,399,179,262.4,384.8,1993.3,1998.4,2005.5,2006.7,137.6,258.6,224.3,218.8,38.0,64.3,92.8,64.6,19.0,45.5,99.2,104.3,147.4,104.8,42.6,11083.1,7872.7,3210.5,11295.9,8023.8,3272.1
Wilhelmshaven,357,152,875.5,983.0,1997.5,1998.1,2000.7,2000.9,119.2,666.3,182.9,179.2,22.0,236.6,600.5,593.2,21.0,111.3,77.7,45.2,399.1,280.0,119.1,30003.1,21023.3,8979.8,30579.1,21426.9,9152.2
Emden,328,173,858.3,340.3,1997.5,2002.4,2004.7,2004.4,175.1,277.4,194.5,191.2,33.0,116.8,105.0,85.4,21.0,48.0,39.5,42.9,267.1,208.1,59.0,19906.5,15506.7,4399.8,20288.7,15804.4,4484.3
Sassnitz,318,105,135.1,90.6,1998.0,1992.1,1992.7,1994.2,211.3,565.3,346.8,340.3,65.5,172.1,339.4,195.0,22.0,127.1,112.8,97.9,239.1,165.5,73.7,17954.9,12424.6,5530.3,18299.6,12663.2,5636.5
