Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,20563,1238,29399.1,37391.6,1987.5,1990.8,1991.9,1991.7,193.7,383.0,384.4,392.1,35.0,78.5,255.1,250.9,28.0,51.0,120.5,117.1,9148.0,7008.3,2139.7,695236.4,534185.3,161051.0,708584.9,544441.7,164143.2
Oil tanker,8769,378,37339.6,49349.0,1995.7,1998.4,2005.6,2004.7,219.5,511.0,699.2,629.1,50.0,136.4,787.7,714.3,22.0,57.6,159.7,133.2,15095.7,10244.1,4851.6,1148232.7,780670.2,367562.5,1170278.7,795659.0,374619.7
Chemical tanker,4743,216,8238.1,12171.9,2001.4,2002.8,2002.7,2002.5,188.8,504.4,424.6,430.0,40.0,117.4,326.0,335.2,23.0,70.0,139.8,137.1,6240.2,3990.4,2249.8,471492.5,301855.3,169637.2,480545.2,307650.9,172894.3
Miscellaneous - fishing,3493,471,6968.4,3512.1,1987.8,1987.7,1988.5,1988.5,349.8,3054.9,2542.1,2314.1,64.0,709.0,1986.3,1881.6,20.0,184.3,396.5,405.8,4968.6,3974.0,994.7,373849.2,299074.0,74775.2,381027.1,304816.3,76210.9
Service - tug,1840,222,1478.1,782.4,1994.7,1995.4,1998.8,2002.1,317.4,867.9,724.0,776.2,90.0,630.2,1001.7,1049.5,28.0,179.5,269.7,272.0,1661.4,1370.9,290.5,125014.0,103177.6,21836.4,127414.3,105158.7,22255.7
Bulk carrier,1322,484,14583.6,25208.4,1997.3,2006.8,2005.4,2005.5,214.9,588.9,608.1,611.6,51.0,131.3,415.7,420.6,37.0,97.1,207.2,214.5,1845.9,1369.4,476.5,142010.0,105433.6,36576.5,144736.6,107457.9,37278.7
Container,784,92,3631.2,4662.7,2001.5,2005.3,2001.0,2001.2,547.0,263.7,383.9,402.7,46.0,34.2,108.9,108.8,43.0,37.9,52.8,53.3,1355.1,1023.7,331.4,103786.1,78673.9,25112.2,105778.8,80184.4,25594.4
Offshore,724,48,2291.8,1523.9,2006.2,2003.2,2009.6,2008.6,608.0,975.8,654.2,651.9,97.0,393.6,357.2,299.8,20.0,195.1,60.2,69.3,1652.6,1487.4,165.2,124493.2,112088.9,12404.2,126883.4,114241.0,12642.4
Refrigerated bulk,643,103,4201.1,4263.2,1987.1,1988.2,1989.1,1989.1,1350.6,1814.1,2057.5,2063.7,166.0,295.6,652.1,633.8,52.0,125.5,253.3,254.1,4110.3,3080.5,1029.7,310309.5,232797.6,77511.9,316267.4,237267.3,79000.2
Service - other,632,113,4819.7,1693.3,1993.5,1993.4,1996.6,1997.7,471.3,1574.2,2172.8,1578.1,124.0,532.8,1607.5,1620.7,37.5,382.2,691.9,546.3,1603.6,1214.1,389.6,121175.7,91915.0,29260.7,123502.3,93679.8,29822.5
Ferry-RoPax,538,6,1788.6,534.3,1987.6,1986.0,1987.5,1987.6,158.5,205.4,340.9,344.4,19.0,26.3,76.7,78.8,4.0,9.8,44.3,45.0,491.9,331.0,160.9,36930.9,24849.6,12081.3,37639.9,25326.7,12313.2
Ro-Ro,361,23,2626.5,1684.4,1989.3,1991.9,1988.0,1988.0,519.8,578.1,565.8,581.7,42.0,185.1,101.5,116.3,26.0,80.7,62.5,67.1,842.3,610.5,231.9,63819.2,46222.6,17596.6,65044.5,47110.0,17934.5
Cruise,244,19,902.1,175.5,1982.0,1986.2,1984.3,1981.9,306.5,660.2,699.4,667.0,36.0,75.6,238.0,306.6,20.0,26.7,79.4,102.5,635.4,348.1,287.3,48252.2,26586.3,21665.9,49178.6,27096.8,22081.8
Ferry-pax only,219,18,235.0,46.9,1992.1,1992.8,1989.1,1987.7,354.7,1399.3,446.1,458.5,33.0,190.8,157.4,148.0,13.0,300.0,258.5,364.5,161.8,94.4,67.5,12172.4,7103.2,5069.2,12406.1,7239.6,5166.6
Liquefied gas tanker,14,10,1366.5,895.1,2008.9,2009.7,2008.4,2008.6,584.9,659.4,943.4,920.1,92.5,124.7,213.4,205.4,28.5,31.5,32.3,32.8,125.4,110.0,15.4,8321.4,7149.2,1172.3,8481.2,7286.4,1194.8
Vehicle,7,3,128.4,45.1,1994.1,1993.0,2002.1,2001.8,158.2,777.4,706.0,679.0,34.0,64.0,151.9,149.8,28.0,48.3,24.9,25.5,18.7,15.0,3.7,1416.3,1133.7,282.7,1443.5,1155.4,288.1
Other liquids tankers,6,2,0.9,1.3,1985.3,1984.5,1985.9,1985.7,278.3,290.0,313.9,313.7,552.0,512.0,1207.5,1163.5,8.0,39.0,28.8,31.3,84.3,83.0,1.2,6329.5,6234.1,95.4,6451.0,6353.8,97.3
