Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,18,7,270.8,296.0,2000.6,2004.1,2005.5,2005.8,1711.3,2728.8,2175.3,2178.7,162.5,214.1,215.4,218.4,103.0,204.2,208.8,157.2,64.7,59.4,5.2,4982.9,4592.2,390.7,5078.6,4680.4,398.2
Cruise,11,10,401.2,54.5,1993.6,1993.6,1997.3,1994.4,1619.9,1649.0,1605.9,1615.8,135.0,123.3,124.4,125.1,21.0,29.4,35.1,30.3,108.7,95.7,13.0,8371.9,7371.5,1000.5,8532.7,7513.0,1019.7
Service - other,5,3,99.5,46.9,1989.8,1995.0,1999.9,1996.9,3898.4,4359.8,4118.2,4086.6,720.0,764.0,757.1,787.6,194.0,553.3,978.6,959.9,54.1,43.8,10.4,4063.5,3285.0,778.5,4141.6,3348.1,793.5
Ro-Ro,5,4,407.7,232.9,2002.2,2002.2,2002.2,2002.2,3465.2,3513.5,3509.5,3509.5,259.0,243.9,247.6,247.6,70.0,64.4,63.2,63.2,84.3,80.3,4.0,6529.0,6218.6,310.4,6654.4,6338.0,316.4
Chemical tanker,5,4,252.1,388.3,2010.2,2008.8,2010.9,2010.6,2522.8,2525.0,2429.1,2422.0,196.0,223.8,205.7,204.4,60.0,60.4,78.6,76.4,49.2,41.2,8.0,3802.8,3186.6,616.1,3875.8,3247.8,627.9
Bulk carrier,5,1,144.9,244.1,2003.0,2003.0,2003.0,2003.0,1548.3,1548.3,1706.3,1706.3,179.0,179.0,574.3,574.3,110.0,110.0,94.6,94.6,12.5,11.6,0.8,956.6,893.9,62.7,975.0,911.1,63.9
Yacht,2,1,1.6,1.7,1911.0,1911.0,1911.0,1911.0,2646.3,2646.3,2646.3,2646.3,478.5,478.5,555.0,555.0,67.0,67.0,82.8,82.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miscellaneous - fishing,1,1,6.1,2.7,1997.0,1997.0,1997.0,1997.0,20670.6,20670.6,20670.6,20670.6,4160.0,4160.0,4160.0,4160.0,403.0,403.0,403.0,403.0,13.1,12.5,0.7,985.1,936.0,49.1,1004.0,954.0,50.0
Oil tanker,1,1,80.8,128.1,2005.0,2005.0,2005.0,2005.0,3640.5,3640.5,3640.5,3640.5,368.0,368.0,368.0,368.0,50.0,50.0,50.0,50.0,15.0,13.9,1.1,1160.9,1073.8,87.1,1183.2,1094.4,88.8
Container,1,1,92.1,114.5,2010.0,2010.0,2010.0,2010.0,4401.7,4401.7,4401.7,4401.7,273.0,273.0,273.0,273.0,15.0,15.0,15.0,15.0,20.0,19.8,0.2,1539.9,1527.3,12.5,1569.4,1556.7,12.8
Offshore,1,1,21.6,12.9,2009.0,2009.0,2009.0,2009.0,5495.4,5495.4,5495.4,5495.4,618.0,618.0,618.0,618.0,523.0,523.0,523.0,523.0,13.7,12.4,1.3,1028.1,928.8,99.3,1047.8,946.7,101.2
