Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Grenada,246,59,372.2,148.5,1989.5,1995.6,2004.3,2004.2,80.5,122.1,96.2,85.0,10.0,14.8,14.4,10.9,8.0,14.4,8.6,7.1,151.8,99.5,52.3,11610.9,7624.3,3986.6,11833.8,7770.7,4063.1
Trinidad and Tobago,227,39,276.2,188.8,1979.7,1995.4,2006.6,2006.3,183.0,199.3,171.2,202.0,18.0,27.3,22.1,22.8,8.0,26.4,13.3,13.6,113.1,75.5,37.7,8600.7,5757.0,2843.6,8765.8,5867.6,2898.2
Saint Lucia,141,49,169.1,72.7,1989.3,1994.6,2004.3,2003.1,77.2,149.7,103.8,87.1,10.0,66.9,18.1,22.8,9.0,17.9,10.7,11.8,75.5,47.0,28.5,5772.0,3606.1,2165.9,5882.8,3675.4,2207.5
Barbados,116,53,248.7,100.0,1994.6,1995.8,2002.5,2003.2,109.7,128.5,119.4,120.6,11.0,19.3,13.4,14.0,9.0,14.6,9.8,9.9,72.4,48.0,24.4,5549.6,3692.1,1857.5,5656.2,3763.0,1893.2
Dominica,37,11,20.0,19.9,1985.1,1998.4,2002.1,2005.0,162.5,154.7,151.3,144.1,22.0,22.9,24.4,20.3,10.0,29.0,21.4,27.4,15.3,9.2,6.1,1154.2,693.7,460.6,1176.4,707.0,469.4
Martinique,23,18,64.0,19.6,1995.1,1996.2,2001.5,1994.9,111.0,375.0,117.4,147.7,14.0,43.7,39.6,145.5,10.0,16.5,12.3,23.8,29.0,20.1,8.9,2219.5,1538.4,681.1,2262.1,1567.9,694.2
Dominican Republic,23,7,220.0,178.6,2007.3,2008.1,2008.8,2007.1,598.4,580.7,584.2,604.9,46.0,44.1,44.4,50.7,4.0,5.9,6.8,4.5,50.8,47.6,3.2,3909.5,3666.7,242.8,3984.6,3737.1,247.5
Antigua and Barbuda,21,7,433.3,43.8,2003.2,2004.9,2003.8,2004.9,259.4,267.4,253.4,254.3,16.0,23.6,16.0,17.9,8.0,7.8,8.6,8.3,108.4,92.6,15.8,8396.7,7171.3,1225.4,8558.0,7309.0,1248.9
Guyana,13,7,16.2,22.0,1983.5,1985.0,1996.8,1993.8,503.8,512.3,516.3,514.2,60.0,72.2,75.4,77.3,46.0,44.6,31.8,35.3,8.1,6.4,1.6,613.6,491.1,122.6,625.4,500.5,124.9
Guadeloupe,10,6,35.1,4.7,1995.0,1996.2,1997.9,1998.2,181.3,190.8,183.0,184.5,16.5,20.6,18.4,18.7,9.0,8.8,9.2,8.7,11.0,8.3,2.7,844.2,640.2,204.0,860.4,652.5,207.9
China,7,3,2.9,2.1,2018.6,2019.3,2018.5,2018.7,129.3,136.1,99.2,103.6,28.0,26.3,35.2,33.8,5.0,14.7,26.0,26.3,1.1,0.7,0.3,80.1,54.1,26.0,81.6,55.1,26.5
"Bonaire, Sint Eustatius and Saba",6,4,150.2,16.7,2003.2,2002.8,2003.5,2003.8,434.1,436.4,435.2,420.5,25.5,32.5,25.2,26.5,6.0,11.8,5.7,6.1,37.3,35.1,2.2,2890.2,2716.9,173.3,2945.7,2769.1,176.6
Saint Kitts and Nevis,5,4,52.5,7.7,1989.4,1987.8,1993.6,1990.5,270.9,359.0,272.0,299.8,17.0,32.8,17.2,28.5,9.0,11.2,9.4,10.5,12.8,10.1,2.7,985.7,779.2,206.4,1004.6,794.2,210.4
Colombia,5,4,11.6,16.2,1995.0,1995.5,1995.0,1995.0,913.7,921.9,919.0,918.7,138.0,149.4,151.7,151.9,98.0,98.5,95.0,94.6,3.1,2.8,0.3,232.9,206.9,26.0,237.3,210.9,26.5
Sint Maarten (Dutch part),5,4,7.0,11.5,1994.0,1991.0,2004.0,2004.1,316.1,330.9,311.1,310.7,36.0,36.2,34.7,34.8,13.0,258.5,21.1,16.2,4.5,2.1,2.4,339.7,158.2,181.5,346.3,161.3,185.0
Curaçao,5,4,102.5,20.0,1997.2,1995.5,2003.6,2000.2,468.2,685.8,470.3,518.4,54.0,81.2,30.2,61.2,44.0,56.9,8.7,38.9,28.6,25.6,3.0,2203.1,1975.9,227.3,2245.4,2013.8,231.6
Virgin Islands (British),3,3,16.1,5.4,1985.3,1985.3,1985.6,1992.3,411.2,452.5,423.9,485.9,63.0,74.0,49.9,90.9,8.0,9.0,7.8,7.0,4.4,3.9,0.5,338.5,302.4,36.1,345.0,308.2,36.8
Nigeria,3,2,1.0,1.9,1963.0,1962.5,1963.0,1963.0,420.2,472.9,365.7,367.2,68.0,68.5,62.8,62.9,56.0,47.2,53.4,53.4,0.8,0.6,0.1,56.7,48.6,8.1,57.8,49.6,8.2
United States of America,3,3,34.9,49.9,2010.7,2010.7,2010.7,2010.7,2081.7,2068.0,2068.0,2068.1,209.0,209.0,209.6,209.6,96.0,103.0,102.7,102.7,7.7,6.7,1.0,589.7,512.0,77.7,601.0,521.8,79.2
Gibraltar,2,1,0.5,0.1,1969.0,1969.0,1969.0,1969.0,212.1,212.1,212.1,212.1,29.5,29.5,28.4,28.4,14.5,14.5,16.3,16.3,0.5,0.3,0.2,36.6,23.6,13.1,37.4,24.0,13.3
Aruba,2,2,80.7,8.7,2002.0,2002.0,2013.5,2007.6,504.1,504.1,525.2,513.6,41.0,41.0,39.2,40.1,7.5,7.5,9.7,8.6,10.7,9.6,1.1,827.2,739.5,87.7,843.1,753.7,89.4
Netherlands,2,2,115.4,125.3,1997.0,1997.0,1997.0,1997.0,4214.2,4214.2,4202.2,4198.1,242.0,242.0,242.1,241.8,8.5,8.5,8.5,8.5,42.2,41.8,0.4,3235.3,3201.7,33.7,3297.5,3263.1,34.3
Suriname,2,2,12.8,7.1,2009.5,2009.5,2012.7,2003.9,741.7,741.7,771.0,629.0,78.5,78.5,89.0,60.3,29.0,29.0,26.7,33.0,3.8,2.9,0.8,283.9,221.6,62.2,289.3,225.9,63.4
