Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
United Arab Emirates,3076,1797,232751.0,332099.4,2008.6,2009.1,2009.3,2009.0,483.9,931.4,1344.0,1288.9,54.0,133.9,315.6,374.0,19.0,82.6,33.8,35.8,21160.0,19192.6,1967.4,1637117.4,1485464.0,151653.3,1668550.0,1513985.0,154565.1
Egypt,1419,458,74857.4,125099.9,1999.2,2006.4,2006.2,2006.7,540.2,1264.5,1324.1,1600.5,42.0,176.0,286.2,290.9,40.0,75.7,64.6,61.9,7458.2,5388.5,2069.7,575675.5,416520.3,159155.2,586728.4,424517.5,162211.0
Singapore,614,455,160262.7,206138.9,2009.9,2009.9,2010.5,2010.2,4161.8,4187.7,4234.8,4218.8,323.0,351.4,330.2,348.1,16.0,31.1,36.2,44.0,14308.8,13567.6,741.1,1107920.1,1050547.7,57372.4,1129192.2,1070718.2,58474.0
Sudan,556,133,2245.1,2419.0,1986.4,1998.2,2002.0,2002.9,216.2,338.6,298.5,284.2,23.0,60.4,119.5,126.0,138.5,117.4,109.7,126.1,708.7,380.9,327.8,54259.5,29254.1,25005.4,55301.3,29815.7,25485.6
India,520,371,63025.2,107518.4,2006.7,2007.3,2006.7,2006.7,1854.9,2355.2,2239.3,2235.7,182.0,221.6,540.7,588.7,44.0,60.7,65.1,67.1,5751.3,5096.5,654.8,444846.7,394338.0,50508.6,453387.7,401909.3,51478.4
Kuwait,440,322,14500.9,22933.8,2008.0,2008.3,2010.0,2010.4,279.1,653.0,725.5,956.5,26.0,176.9,568.7,677.2,19.5,54.5,27.4,29.3,1110.0,968.5,141.5,85569.0,74737.1,10831.8,87211.9,76172.1,11039.8
Oman,418,280,40857.4,43417.4,2007.4,2008.3,2007.9,2008.3,1397.5,1536.9,1460.3,1357.0,87.0,150.0,198.6,266.8,18.0,36.3,26.4,33.2,3938.8,3695.3,243.5,304919.6,286104.6,18815.1,310774.1,291597.8,19176.3
China,313,221,208375.3,365623.5,2010.1,2010.0,2010.2,2010.1,5751.5,5615.5,5861.2,5894.9,471.0,482.9,602.0,624.5,51.0,65.7,72.3,76.7,13320.9,12738.9,582.0,1031747.3,986675.2,45072.1,1051556.8,1005619.3,45937.5
Qatar,304,243,7435.6,11145.4,2007.5,2008.3,2008.7,2008.8,255.0,440.1,381.2,368.4,26.0,63.3,139.2,150.0,22.0,48.5,54.1,63.6,834.7,566.3,268.4,64537.5,43815.6,20721.9,65776.6,44656.9,21119.8
Turkey,302,183,26133.5,32195.4,2005.5,2007.8,2009.2,2009.4,1399.7,1594.6,1453.5,1479.6,119.5,227.2,177.3,205.5,14.0,27.5,24.5,23.2,2397.3,2273.6,123.7,185566.0,176032.7,9533.4,189128.9,179412.5,9716.4
Malaysia,297,197,122825.5,156245.1,2010.1,2009.7,2010.4,2010.1,4233.2,4444.9,4424.3,4517.4,279.0,331.2,334.8,368.5,21.0,42.6,42.2,51.5,10305.8,9802.7,503.1,798218.2,759262.9,38955.3,813544.0,773840.7,39703.3
Djibouti,278,139,9828.6,11197.4,2002.4,2003.5,2007.8,2007.2,749.6,844.6,816.0,837.2,67.0,102.2,90.0,99.2,21.5,37.4,27.0,26.2,1108.5,1012.5,96.0,85706.8,78316.2,7390.6,87352.4,79819.9,7532.5
Bahrain,209,170,4639.8,7728.2,2007.3,2008.1,2008.1,2008.3,153.6,542.1,867.8,1086.0,34.0,224.0,698.7,768.2,42.0,190.9,249.2,277.0,689.9,403.6,286.2,53141.6,31079.6,22062.0,54161.9,31676.3,22485.6
Jordan,206,132,7447.0,8548.3,2006.0,2006.9,2007.8,2007.5,601.2,712.9,697.9,716.0,47.0,78.4,91.3,111.9,16.0,41.0,30.8,39.2,740.7,667.4,73.4,57323.0,51665.6,5657.3,58423.6,52657.6,5765.9
Japan,197,105,183219.7,342688.2,2008.2,2008.3,2008.5,2008.6,6738.0,6768.9,6756.2,6747.5,529.0,533.3,539.7,540.4,36.0,43.8,47.7,48.2,11958.8,11176.6,782.2,926358.7,865765.1,60593.6,944144.8,882387.8,61757.0
Sri Lanka,170,100,52898.2,58911.1,2010.4,2008.9,2011.2,2010.9,2870.0,2905.0,2874.9,2863.9,174.5,220.3,191.1,197.8,17.0,26.8,20.9,20.3,4495.3,4409.2,86.1,348177.4,341525.9,6651.5,354862.4,348083.2,6779.2
Spain,154,118,27466.1,34086.4,2009.6,2009.5,2010.2,2010.7,2490.1,3074.0,2783.3,2930.9,208.0,274.3,263.5,298.4,21.5,44.0,34.5,40.2,2835.0,2651.7,183.3,219574.1,205384.5,14189.6,223789.9,209327.9,14462.1
Iran (Islamic Republic of),146,134,3145.1,4553.4,2005.5,2005.8,2007.1,2006.9,361.9,693.5,619.9,544.9,51.0,127.6,126.9,120.9,20.0,71.9,63.8,68.3,354.8,284.1,70.7,27315.8,21900.1,5415.7,27840.3,22320.6,5519.7
Pakistan,145,65,13915.4,17486.9,2007.3,2008.6,2008.9,2008.2,1369.1,1687.4,1863.9,1698.4,112.0,149.1,150.4,143.5,45.0,57.4,45.7,52.0,1421.4,1208.2,213.2,109995.0,93534.6,16460.4,112106.9,95330.5,16776.4
Yemen,145,52,5312.7,8785.1,1999.9,2001.0,2004.4,2004.9,831.4,1583.1,1446.7,1603.2,191.0,407.4,361.8,332.5,109.0,132.2,112.2,104.0,934.4,707.5,226.9,71592.5,54229.5,17363.0,72967.0,55270.7,17696.4
Iraq,143,92,2940.4,3806.9,2006.2,2006.8,2007.0,2007.2,300.5,517.7,423.2,416.0,25.0,52.8,57.4,61.2,33.0,58.1,63.0,71.4,410.1,231.6,178.5,31706.7,17913.7,13793.1,32315.5,18257.6,14057.9
Malta,135,69,17692.7,22350.7,2008.6,2009.5,2008.3,2008.6,1711.6,1980.2,1854.8,1894.7,152.0,203.1,190.8,210.9,14.0,23.2,23.6,26.0,1699.2,1645.3,53.9,131609.7,127434.1,4175.6,134136.6,129880.8,4255.7
"Korea, Republic of",125,99,106693.1,202745.3,2009.3,2009.0,2008.9,2008.9,6586.0,6683.8,6684.3,6680.9,576.0,575.4,588.3,589.3,30.0,46.6,44.9,44.9,5997.7,5788.5,209.2,464572.8,448376.7,16196.0,473492.6,456985.5,16507.0
Italy,114,85,18616.7,22062.5,2010.9,2010.5,2011.8,2011.6,1973.2,2223.4,2083.8,2143.6,150.5,215.7,193.3,215.3,29.0,48.7,40.4,42.2,1662.1,1540.8,121.3,128730.5,119336.6,9393.9,131202.1,121627.9,9574.2
Greece,112,85,10939.5,14107.6,2007.2,2006.6,2008.1,2007.9,1356.9,1497.6,1438.6,1467.1,129.0,232.3,187.5,220.9,15.5,40.7,31.1,35.2,1153.0,965.6,187.4,89312.8,74797.5,14515.3,91027.6,76233.6,14794.0
Indonesia,111,100,35278.9,61823.2,2008.3,2009.1,2007.0,2006.7,4209.8,4459.9,4485.3,4515.7,352.0,377.2,362.0,364.6,22.0,61.2,135.4,144.4,2789.5,2492.3,297.2,215993.1,192992.5,23000.6,220140.2,196698.0,23442.2
Israel,103,64,7668.0,8751.0,2010.0,2008.8,2012.5,2011.6,874.3,962.8,893.9,899.4,77.0,101.9,93.8,101.4,44.0,75.1,56.3,64.3,539.3,458.6,80.8,41758.8,35510.5,6248.3,42560.6,36192.3,6368.3
Morocco,95,29,26543.7,29641.8,2012.9,2012.3,2013.0,2012.9,2655.2,2758.4,2706.7,2706.5,180.0,196.5,186.8,188.1,16.0,31.2,19.4,21.5,2376.2,2318.6,57.6,184070.2,179605.7,4464.5,187604.3,183054.1,4550.2
Somalia,76,26,628.7,800.3,1990.5,1984.5,1998.6,1999.7,791.5,943.6,860.0,867.6,77.0,108.9,100.8,102.8,46.0,41.0,60.5,63.1,151.6,120.4,31.2,11561.2,9220.4,2340.8,11783.2,9397.4,2385.8
Netherlands,71,37,26273.6,33104.1,2009.3,2010.5,2009.4,2010.0,4056.8,4817.6,4546.8,4832.4,254.0,451.1,435.4,526.2,42.0,50.5,46.8,49.0,2398.9,2295.6,103.4,185164.7,177280.3,7884.4,188719.9,180684.1,8035.8
Kenya,67,48,8185.1,13468.7,2006.8,2008.7,2010.3,2011.0,3082.4,3379.5,3421.0,3467.0,285.0,336.6,366.3,372.7,76.0,101.6,102.4,105.5,924.6,786.8,137.8,71462.2,60818.0,10644.2,72834.2,61985.7,10848.5
Lebanon,62,28,1709.2,1400.8,1989.7,1999.3,2006.0,2006.1,934.5,1049.0,1016.5,1014.0,91.5,136.1,100.1,102.9,91.5,104.9,54.3,66.3,232.2,147.6,84.6,17852.6,11399.4,6453.3,18195.4,11618.2,6577.2
"Taiwan, Province of China",61,42,47945.0,88765.7,2007.7,2007.4,2008.6,2008.5,5733.7,6967.6,6792.6,6820.4,478.0,587.8,921.1,944.7,29.0,31.2,31.8,32.1,2811.7,2722.9,88.8,217712.1,210838.6,6873.6,221892.2,214886.7,7005.5
United States of America,58,52,80489.8,155090.7,2012.2,2012.0,2012.3,2012.3,11772.2,10893.1,11655.2,11718.8,974.5,972.2,1033.1,1036.0,30.0,57.6,60.4,60.3,5180.3,4961.1,219.2,400311.4,383852.4,16459.0,407997.4,391222.4,16775.0
Thailand,57,43,27656.4,47111.4,2005.3,2006.7,2003.2,2002.5,4711.7,4927.1,4824.6,4766.1,384.0,390.7,394.9,397.0,45.0,47.1,49.7,52.1,1696.6,1609.3,87.3,131395.8,124638.7,6757.2,133918.6,127031.7,6886.9
South Africa,56,56,33062.2,62963.8,2011.5,2011.5,2012.1,2012.1,4473.9,5284.6,5547.7,5573.7,408.0,470.2,758.7,767.2,24.0,41.1,27.3,26.6,2120.6,2079.4,41.2,164209.6,161021.7,3187.9,167362.4,164113.3,3249.1
Eritrea,51,17,424.7,679.0,1997.5,2001.4,1999.5,1999.4,374.4,427.8,397.8,396.7,44.0,58.2,82.2,82.1,61.0,107.8,249.2,266.2,344.3,92.2,252.1,26598.7,7111.0,19487.7,27109.4,7247.6,19861.8
France,50,50,14169.7,24830.9,2010.9,2010.9,2010.9,2010.9,4001.6,4597.7,5025.1,5175.4,417.0,440.7,510.1,521.4,65.0,77.2,85.5,87.8,1269.3,1105.6,163.7,98009.0,85521.1,12487.8,99890.7,87163.1,12727.6
