Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,4501,612,160218.6,192660.8,2006.4,2007.0,2007.3,2007.1,1026.9,1315.8,1289.4,1294.7,76.0,94.4,117.1,117.6,21.0,26.6,30.8,30.6,25075.3,22712.9,2362.5,1936171.9,1754811.5,181360.4,1973346.4,1788503.9,184842.5
Bulk carrier,1616,1195,125773.4,214065.6,2008.6,2009.1,2009.3,2009.5,2094.6,2685.7,2794.9,2792.1,200.0,257.9,412.5,414.5,110.0,171.8,175.7,176.8,11257.4,9535.3,1722.1,870997.0,738013.6,132983.4,887720.1,752183.5,135536.6
Chemical tanker,1369,485,19063.3,30512.5,2007.1,2008.0,2008.1,2008.0,1085.1,1630.0,1533.3,1539.5,104.0,146.6,233.8,233.2,28.0,43.3,56.2,55.9,4808.6,3968.9,839.7,369356.0,305413.4,63942.7,376447.7,311277.3,65170.4
General cargo,1283,631,26117.1,36535.4,2005.8,2006.3,2007.2,2007.3,1724.4,2202.2,2292.3,2314.3,179.0,212.0,319.8,324.4,52.0,85.6,98.3,99.7,4774.8,4104.1,670.7,366603.0,315670.2,50932.8,373641.8,321731.1,51910.7
Oil tanker,945,435,133640.7,248929.3,2005.8,2007.0,2006.3,2006.3,1422.5,2680.6,3217.3,3260.0,144.0,262.9,463.5,468.5,38.0,64.7,63.1,62.5,10869.3,9274.9,1594.4,840465.7,717636.0,122829.7,856602.7,731414.6,125188.0
Vehicle,632,231,71905.5,23327.9,2005.6,2006.9,2006.5,2006.4,1541.0,2548.9,2264.2,2275.0,99.0,167.3,221.3,221.6,14.0,21.9,26.2,26.1,4515.5,4289.7,225.8,349717.4,332238.5,17478.9,356432.0,338617.5,17814.5
Liquefied gas tanker,592,195,43688.1,38824.4,2002.9,2005.7,2008.1,2007.8,1529.8,2783.9,4355.0,4127.9,130.0,217.5,454.3,444.5,30.0,54.3,40.4,41.8,6031.5,5461.3,570.1,420588.6,377860.2,42728.5,428663.9,385115.1,43548.8
Service - tug,258,132,380.8,324.8,2011.4,2010.5,2009.5,2009.5,578.3,1701.2,1886.4,1839.0,124.5,363.8,1135.8,1076.1,27.5,210.9,946.7,994.8,312.3,216.7,95.5,23454.2,16280.3,7173.9,23904.5,16592.9,7311.6
Cruise,181,51,11067.8,1156.2,2001.8,2001.5,2005.5,2005.0,591.1,862.1,762.5,792.3,40.0,76.5,74.8,79.9,12.0,19.9,19.9,20.2,2232.2,1890.1,342.1,172784.2,146295.5,26488.7,176101.7,149104.4,26997.3
Refrigerated bulk,118,64,2539.6,3101.1,1989.5,1989.3,1989.9,1989.8,4506.3,4661.6,4774.2,4820.5,425.0,522.3,735.3,743.3,332.5,295.5,318.3,322.5,1959.7,1399.2,560.5,148581.5,106425.6,42155.9,151434.2,108469.0,42965.3
Offshore,52,34,1950.6,1689.7,2011.4,2009.4,2008.6,2008.8,1522.9,3478.4,4934.1,4944.6,261.0,571.0,590.0,598.6,50.5,422.1,128.6,141.4,344.8,300.9,43.8,24337.4,21046.3,3291.1,24804.7,21450.4,3354.3
Ferry-RoPax,20,3,385.3,72.8,1984.3,1987.7,1979.5,1979.5,522.6,1051.7,2031.7,2037.0,40.0,94.2,203.1,203.2,20.0,17.3,258.8,258.7,43.9,29.5,14.3,3326.5,2247.6,1078.9,3390.4,2290.8,1099.6
Service - other,14,11,117.0,47.2,1999.6,1997.5,2004.5,2003.3,1115.1,2699.9,1834.2,1316.2,202.0,764.4,597.7,576.4,80.5,76.7,85.9,82.5,57.4,53.8,3.6,4350.5,4082.8,267.7,4434.0,4161.2,272.9
Ferry-pax only,13,2,26.7,2.1,1992.0,1992.0,1992.0,1992.0,2204.0,8397.7,4082.8,4082.8,99.0,1044.0,659.3,659.3,56.0,125.5,132.3,132.3,29.7,17.9,11.8,2229.8,1340.5,889.3,2272.6,1366.2,906.4
Miscellaneous - fishing,9,6,92.3,57.5,1995.4,1999.8,2008.4,2004.0,3780.0,4857.5,5334.8,4356.0,353.0,884.1,1411.3,1030.5,123.0,147.2,106.5,143.4,36.7,33.0,3.6,2761.3,2487.6,273.7,2814.4,2535.4,279.0
Ro-Ro,3,3,25.6,18.0,1995.7,1995.7,1997.6,1997.6,205.2,861.8,829.1,926.3,45.0,72.3,148.5,149.6,40.0,34.0,13.5,13.9,6.2,5.3,1.0,482.6,408.7,74.0,491.9,416.5,75.4
