Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Kerch,6360,1092,5043.6,6363.9,1991.8,1991.4,1994.7,1994.9,181.3,254.2,224.0,222.4,28.0,70.9,84.7,78.1,44.0,73.1,92.3,87.8,2663.1,1357.4,1305.7,200532.1,102461.2,98070.8,204382.3,104428.5,99953.8
Illichivsk,1298,608,17320.4,23703.4,1995.0,2003.3,2002.4,2006.1,359.7,792.4,676.4,820.7,45.0,131.4,242.6,294.8,18.0,51.4,55.2,61.0,2699.8,2253.3,446.5,207490.3,173624.1,33866.2,211474.1,176957.7,34516.4
Yuzhny,1062,777,26475.0,46400.8,2004.1,2004.6,2009.6,2009.7,395.4,887.4,943.6,980.8,56.0,140.4,378.3,390.3,14.5,48.8,64.1,63.7,2830.1,2531.6,298.5,218363.3,195517.1,22846.1,222555.8,199271.1,23284.8
Odessa,1008,557,13889.7,21432.8,2003.3,2004.0,2009.3,2009.3,372.7,750.6,646.5,695.8,44.0,106.9,240.4,261.3,16.0,45.4,78.4,83.4,2013.0,1729.0,284.0,154849.5,133292.4,21557.1,157822.6,135851.6,21971.0
Mykolayiv,613,494,12128.6,20285.6,2003.5,2004.3,2009.4,2009.4,438.7,1054.8,1237.0,1263.0,59.0,124.0,497.8,500.3,10.0,43.3,65.0,64.9,1517.0,1380.8,136.2,117038.7,106666.1,10372.6,119285.9,108714.1,10571.8
Kherson,600,261,1267.9,1767.4,1990.8,1993.2,1995.2,1995.5,450.9,539.3,593.3,597.4,67.0,99.2,152.2,154.1,23.0,40.9,62.6,64.5,349.0,296.4,52.6,26425.7,22472.2,3953.5,26933.1,22903.7,4029.5
Mariupol,559,338,924.3,1407.5,1995.5,1994.0,2002.3,2002.4,108.8,160.6,237.1,242.2,15.0,49.0,76.6,76.8,19.0,47.3,30.4,29.9,213.5,152.5,61.1,16266.2,11675.9,4590.3,16578.6,11900.1,4678.4
Oktyabrsk,457,323,4553.4,7362.3,1998.0,1999.5,2004.3,2004.4,428.3,735.9,825.2,839.7,54.0,89.3,210.2,219.3,12.0,41.3,72.0,74.6,639.0,571.2,67.8,49146.0,44022.7,5123.2,50089.6,44868.0,5221.6
Berdyansk,254,155,225.2,337.2,1993.9,1993.9,1997.1,1997.0,86.0,143.9,152.7,152.5,11.0,66.6,70.7,67.9,32.0,57.3,40.2,38.8,103.7,65.7,38.0,7851.8,4997.9,2853.9,8002.6,5093.9,2908.7
Reni,226,125,419.0,620.3,1992.4,1993.5,1993.0,1992.6,344.8,459.3,442.3,440.3,63.0,79.7,97.2,97.6,13.0,47.4,75.8,69.7,145.7,107.5,38.3,11101.5,8215.3,2886.2,11314.6,8373.0,2941.6
Sevastopol,202,81,148.7,180.8,1982.2,1984.4,1986.0,1988.3,284.0,418.7,352.4,338.9,48.0,206.6,436.6,307.6,32.5,130.9,103.9,99.0,193.6,144.3,49.4,14561.9,10852.3,3709.7,14841.5,11060.6,3780.9
Dneprobugsky,166,147,1599.3,2583.8,2002.4,2004.0,2005.9,2006.0,464.8,611.2,598.5,596.3,64.5,99.0,144.2,143.5,26.5,67.7,87.0,88.4,241.2,194.6,46.5,18547.0,14983.0,3564.0,18903.1,15270.7,3632.4
Nikolaev,93,70,329.5,514.3,1989.6,1990.1,1997.2,1998.0,455.3,604.7,745.1,770.3,67.0,86.6,191.5,198.0,39.0,41.4,47.7,47.1,64.9,57.0,7.8,4943.8,4356.9,587.0,5038.7,4440.5,598.2
