Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Damietta,552,282,2392.1,3124.2,2000.6,1999.8,2003.2,2003.4,203.7,331.4,260.0,265.2,22.0,103.2,118.4,118.8,35.0,79.8,59.6,63.7,570.8,356.7,214.1,43630.0,27269.5,16360.5,44467.7,27793.1,16674.6
Port Said,307,159,825.0,1181.2,2003.6,2001.7,2003.8,2003.7,194.1,724.6,341.1,337.6,31.0,226.2,402.9,311.1,59.0,237.4,311.7,270.0,412.3,235.6,176.7,31167.9,17813.4,13354.6,31766.4,18155.4,13611.0
Port Said East,272,34,513.5,618.8,2001.3,2000.6,1999.5,1999.4,326.2,1000.1,258.7,257.9,46.5,229.9,120.5,105.0,42.0,73.8,84.7,86.3,314.6,198.3,116.3,23897.5,15062.3,8835.2,24356.3,15351.5,9004.8
Alexandria,266,140,1414.6,1878.2,2001.5,2002.0,2001.5,2001.5,307.9,576.3,377.2,369.6,66.0,250.8,206.2,179.4,54.5,305.5,173.2,154.5,510.6,291.4,219.2,38892.9,22249.0,16643.9,39639.7,22676.2,16963.5
Ras Shukheir,196,37,228.6,293.0,2003.5,1999.3,2002.2,2000.1,154.1,608.9,337.7,324.9,37.0,391.6,583.4,399.0,35.5,45.9,132.9,116.7,178.9,119.0,59.9,13447.4,8945.7,4501.7,13705.6,9117.5,4588.1
Suez,166,59,257.5,313.8,1997.0,1999.0,1998.4,1997.6,464.9,1185.5,423.3,377.9,99.0,649.3,969.9,675.0,48.0,279.5,385.0,406.8,420.7,230.4,190.3,31862.7,17427.6,14435.0,32474.4,17762.3,14712.2
Wadi Feiran,158,41,486.1,704.6,2002.6,2001.9,1999.9,1998.4,240.0,484.8,331.0,310.8,55.5,237.1,470.4,370.1,38.5,108.2,155.0,114.8,283.1,149.2,133.9,21593.2,11339.9,10253.3,22007.7,11557.6,10450.1
El Dekheila,157,81,762.8,1076.9,2000.6,2000.1,2001.7,2002.2,254.7,362.6,316.7,325.7,32.0,135.4,158.5,158.4,41.0,99.1,132.1,149.3,245.1,139.0,106.2,18706.5,10624.4,8082.1,19065.7,10828.4,8237.3
Ras Badran Oil Terminal,141,38,129.6,105.1,2002.2,1999.7,2005.3,2004.4,200.9,792.5,544.1,508.2,53.0,277.7,1062.7,1058.7,22.0,85.7,92.3,89.1,133.0,117.8,15.2,9988.8,8843.9,1144.8,10180.6,9013.7,1166.8
Al Adabiyah,122,73,743.5,1202.8,1996.5,1998.4,2002.0,2002.0,226.4,561.8,308.6,312.5,32.0,199.1,222.9,196.1,85.0,135.0,200.5,214.4,363.8,185.7,178.1,27808.0,14084.5,13723.6,28342.0,14354.9,13987.1
El Tor,117,36,281.6,459.0,1996.7,1998.5,1997.4,1998.3,123.8,437.3,347.9,351.6,60.0,234.5,282.8,267.3,25.0,48.1,63.1,67.5,86.6,71.0,15.6,6580.1,5386.6,1193.4,6706.4,5490.1,1216.3
Ismailia,114,20,57.2,50.4,2001.1,1999.1,2003.2,2002.0,280.1,1311.1,657.2,647.4,55.0,357.6,1139.7,690.9,67.0,377.4,293.4,292.5,115.5,79.0,36.5,8676.2,5934.6,2741.7,8842.8,6048.5,2794.3
Idku,100,60,509.9,493.9,2007.0,2005.5,2009.1,2008.0,427.6,1251.9,645.1,564.6,136.0,525.7,476.4,414.0,72.0,154.1,147.7,151.0,194.4,140.2,54.2,14369.8,10339.6,4030.2,14645.7,10538.1,4107.6
