alpha-3,country-code,Inventory,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop,ene_tj_pc,ene_tj_voy_pc,ene_tj_stop_pc,co2e_t_pc,co2e_t_voy_pc,co2e_t_stop_pc
THA,764,All Global Voyages,2739872.0,58539.0,81475141.7,114361946.3,2002.6,2002.5,2008.8,2009.1,358.8,1354.1,1507.6,1784.2,41.0,231.2,403.1,445.6,19.0,89.0,69.9,77.7,9402364.3,8131271.3,1271093.0,715428735.4,618723859.3,96704876.1,729164967.1,630603357.4,98561609.7,100.0,100.0,100.0,100.0,100.0,100.0
THA,764,All International Voyages,1244079.0,43111.0,72080717.8,102661963.7,2003.7,2003.9,2009.1,2009.4,663.1,1807.6,2057.2,2437.2,67.0,235.5,428.7,472.1,22.0,85.3,69.1,76.9,7421794.7,6689478.0,732316.7,564552047.5,508802890.5,55749157.0,575391446.8,518571906.0,56819540.9,78.93540883115962,82.26853776235458,57.613148683849246,78.91101091820406,82.23424438114164,57.64875499999063
THA,764,All Domestic Voyages,1495793.0,55373.0,9394423.9,11699982.6,2001.6,2002.7,2006.1,2006.6,222.5,777.4,494.4,532.4,27.0,173.3,206.5,213.1,17.0,86.5,76.1,84.0,1980569.6,1441793.3,538776.3,150876687.9,109920968.8,40955719.1,153773520.3,112031451.4,41742068.9,21.064591168840373,17.731462237645424,42.38685131615075,21.088989081795948,17.765755618858368,42.35124510146875
THA,764,Int. Arr. Inventory,11606.0,4090.0,596992.4,791325.5,2006.3,2007.3,2007.4,2007.5,1293.2,2263.8,2042.0,2199.2,100.0,216.9,311.1,345.3,28.0,98.9,74.6,86.6,72355.2,63293.6,9061.6,5536207.7,4842258.3,693949.4,5642502.9,4935229.7,707273.2,0.76954261387213,0.7783973460582971,0.7128982694421259,0.7738307728141538,0.7826202702675304,0.7175950171195306
THA,764,Int. Dep. Inventory,11628.0,4117.0,450220.0,577325.7,2006.3,2007.3,2007.2,2007.3,1053.0,1779.9,1536.6,1596.5,94.0,189.3,271.4,308.9,18.0,79.3,61.4,70.0,59244.7,52574.2,6670.5,4541164.0,4032510.4,508653.6,4628354.4,4109934.6,518419.8,0.6301042813242197,0.6465680219032908,0.5247845751648385,0.6347472257763109,0.6517463872925457,0.5259855247676621
THA,764,Domestic Inventory,13689.0,1411.0,37479.4,55959.8,1999.4,2005.1,2003.1,2003.1,271.5,698.0,453.4,473.6,29.0,96.2,280.1,261.2,20.0,101.6,138.8,124.8,16497.5,9893.6,6603.9,1250439.0,750952.1,499486.9,1274447.4,765370.4,509077.1,0.17546118692720722,0.12167347066626592,0.5195449900203998,0.1747817651016163,0.12137112671833042,0.5165064790941619
GRC,300,All Global Voyages,2739872.0,58539.0,81475141.7,114361946.3,2002.6,2002.5,2008.8,2009.1,358.8,1354.1,1507.6,1784.2,41.0,231.2,403.1,445.6,19.0,89.0,69.9,77.7,9402364.3,8131271.3,1271093.0,715428735.4,618723859.3,96704876.1,729164967.1,630603357.4,98561609.7,100.0,100.0,100.0,100.0,100.0,100.0
GRC,300,All International Voyages,1244079.0,43111.0,72080717.8,102661963.7,2003.7,2003.9,2009.1,2009.4,663.1,1807.6,2057.2,2437.2,67.0,235.5,428.7,472.1,22.0,85.3,69.1,76.9,7421794.7,6689478.0,732316.7,564552047.5,508802890.5,55749157.0,575391446.8,518571906.0,56819540.9,78.93540883115962,82.26853776235458,57.613148683849246,78.91101091820406,82.23424438114164,57.64875499999063
GRC,300,All Domestic Voyages,1495793.0,55373.0,9394423.9,11699982.6,2001.6,2002.7,2006.1,2006.6,222.5,777.4,494.4,532.4,27.0,173.3,206.5,213.1,17.0,86.5,76.1,84.0,1980569.6,1441793.3,538776.3,150876687.9,109920968.8,40955719.1,153773520.3,112031451.4,41742068.9,21.064591168840373,17.731462237645424,42.38685131615075,21.088989081795948,17.765755618858368,42.35124510146875
GRC,300,Int. Arr. Inventory,16654.0,5228.0,636920.8,741598.1,2001.1,2002.5,2009.2,2009.4,649.1,1275.8,1447.5,1529.6,61.0,148.1,254.4,282.2,16.0,46.7,35.1,38.5,76020.1,64873.8,11146.3,5844447.9,4986966.4,857481.5,5956661.3,5082716.1,873945.1,0.8085211078239118,0.7978309615619393,0.8769067251570105,0.8169154538088339,0.8060084108902018,0.8866992966735201
